model,pretrained,task_type,benchmark,result_file,timestamp,status
RN50,cc12m,zeroshot_classification,food101,"","",pending
RN50,cc12m,zeroshot_classification,gtsrb,"","",pending
RN50,cc12m,zeroshot_classification,imagenet-a,"","",pending
RN50,cc12m,zeroshot_classification,imagenet-r,"","",pending
RN50,cc12m,zeroshot_classification,imagenet1k,"","",pending
RN50,cc12m,zeroshot_classification,imagenet_sketch,"","",pending
RN50,cc12m,zeroshot_classification,imagenetv2,"","",pending
RN50,cc12m,zeroshot_classification,mnist,"","",pending
RN50,cc12m,zeroshot_classification,objectnet,"","",pending
RN50,cc12m,zeroshot_classification,pcam,"","",pending
RN50,cc12m,zeroshot_classification,pets,"","",pending
RN50,cc12m,zeroshot_classification,renderedsst2,"","",pending
RN50,cc12m,zeroshot_classification,resisc45,"","",pending
RN50,cc12m,zeroshot_classification,stl10,"","",pending
RN50,cc12m,zeroshot_classification,sun397,"","",pending
RN50,cc12m,zeroshot_classification,voc2007,"","",pending
RN50,cc12m,zeroshot_classification,voc2007_multilabel,"","",pending
RN50,cc12m,zeroshot_classification,vtab/caltech101,"","",pending
RN50,cc12m,zeroshot_classification,vtab/cifar10,"","",pending
RN50,cc12m,zeroshot_classification,vtab/cifar100,"","",pending
RN50,cc12m,zeroshot_classification,vtab/clevr_closest_object_distance,"","",pending
RN50,cc12m,zeroshot_classification,vtab/clevr_count_all,"","",pending
RN50,cc12m,zeroshot_classification,vtab/diabetic_retinopathy,"","",pending
RN50,cc12m,zeroshot_classification,vtab/dmlab,"","",pending
RN50,cc12m,zeroshot_classification,vtab/dsprites_label_orientation,"","",pending
RN50,cc12m,zeroshot_classification,vtab/dsprites_label_x_position,"","",pending
RN50,cc12m,zeroshot_classification,vtab/dtd,"","",pending
RN50,cc12m,zeroshot_classification,vtab/eurosat,"","",pending
RN50,cc12m,zeroshot_classification,vtab/flowers,"","",pending
RN50,cc12m,zeroshot_classification,vtab/kitti_closest_vehicle_distance,"","",pending
RN50,cc12m,zeroshot_classification,vtab/pcam,"","",pending
RN50,cc12m,zeroshot_classification,vtab/pets,"","",pending
RN50,cc12m,zeroshot_classification,vtab/resisc45,"","",pending
RN50,cc12m,zeroshot_classification,vtab/smallnorb_label_azimuth,"","",pending
RN50,cc12m,zeroshot_classification,vtab/smallnorb_label_elevation,"","",pending
RN50,cc12m,zeroshot_classification,vtab/svhn,"","",pending
RN50,cc12m,zeroshot_retrieval,mscoco_captions,"","",pending
RN50,cc12m,zeroshot_retrieval,mscoco_captions2017,"","",pending
RN50,cc12m,zeroshot_retrieval,flickr30k,"","",pending
RN50,cc12m,zeroshot_retrieval,flickr8k,"","",pending
RN101,openai,zeroshot_classification,caltech101,"","",pending
RN101,openai,zeroshot_classification,cars,"","",pending
RN101,openai,zeroshot_classification,cifar10,"","",pending
RN101,openai,zeroshot_classification,cifar100,"","",pending
RN101,openai,zeroshot_classification,country211,"","",pending
RN101,openai,zeroshot_classification,dtd,"","",pending
RN101,openai,zeroshot_classification,eurosat,"","",pending
RN101,openai,zeroshot_classification,fer2013,"","",pending
RN101,openai,zeroshot_classification,fgvc_aircraft,"","",pending
RN101,openai,zeroshot_classification,flowers,"","",pending
RN101,openai,zeroshot_classification,food101,"","",pending
RN101,openai,zeroshot_classification,gtsrb,"","",pending
RN101,openai,zeroshot_classification,imagenet-a,"","",pending
RN101,openai,zeroshot_classification,imagenet-r,"","",pending
RN101,openai,zeroshot_classification,imagenet1k,"","",pending
RN101,openai,zeroshot_classification,imagenet_sketch,"","",pending
RN101,openai,zeroshot_classification,imagenetv2,"","",pending
RN101,openai,zeroshot_classification,mnist,"","",pending
RN101,openai,zeroshot_classification,objectnet,"","",pending
RN101,openai,zeroshot_classification,pcam,"","",pending
RN101,openai,zeroshot_classification,pets,"","",pending
RN101,openai,zeroshot_classification,renderedsst2,"","",pending
RN101,openai,zeroshot_classification,resisc45,"","",pending
RN101,openai,zeroshot_classification,stl10,"","",pending
RN101,openai,zeroshot_classification,sun397,"","",pending
RN101,openai,zeroshot_classification,voc2007,"","",pending
RN101,openai,zeroshot_classification,voc2007_multilabel,"","",pending
RN101,openai,zeroshot_classification,vtab/caltech101,"","",pending
RN101,openai,zeroshot_classification,vtab/cifar10,"","",pending
RN101,openai,zeroshot_classification,vtab/cifar100,"","",pending
RN101,openai,zeroshot_classification,vtab/clevr_closest_object_distance,"","",pending
RN101,openai,zeroshot_classification,vtab/clevr_count_all,"","",pending
RN101,openai,zeroshot_classification,vtab/diabetic_retinopathy,"","",pending
RN101,openai,zeroshot_classification,vtab/dmlab,"","",pending
RN101,openai,zeroshot_classification,vtab/dsprites_label_orientation,"","",pending
RN101,openai,zeroshot_classification,vtab/dsprites_label_x_position,"","",pending
RN101,openai,zeroshot_classification,vtab/dtd,"","",pending
RN101,openai,zeroshot_classification,vtab/eurosat,"","",pending
RN101,openai,zeroshot_classification,vtab/flowers,"","",pending
RN101,openai,zeroshot_classification,vtab/kitti_closest_vehicle_distance,"","",pending
RN101,openai,zeroshot_classification,vtab/pcam,"","",pending
RN101,openai,zeroshot_classification,vtab/pets,"","",pending
RN101,openai,zeroshot_classification,vtab/resisc45,"","",pending
RN101,openai,zeroshot_classification,vtab/smallnorb_label_azimuth,"","",pending
RN101,openai,zeroshot_classification,vtab/smallnorb_label_elevation,"","",pending
RN101,openai,zeroshot_classification,vtab/svhn,"","",pending
RN101,openai,zeroshot_retrieval,mscoco_captions,"","",pending
RN101,openai,zeroshot_retrieval,mscoco_captions2017,"","",pending
RN101,openai,zeroshot_retrieval,flickr30k,"","",pending
RN101,openai,zeroshot_retrieval,flickr8k,"","",pending
RN101,yfcc15m,zeroshot_classification,caltech101,"","",pending
RN101,yfcc15m,zeroshot_classification,cars,"","",pending
RN101,yfcc15m,zeroshot_classification,cifar10,"","",pending
RN101,yfcc15m,zeroshot_classification,cifar100,"","",pending
RN101,yfcc15m,zeroshot_classification,country211,"","",pending
RN101,yfcc15m,zeroshot_classification,dtd,"","",pending
RN101,yfcc15m,zeroshot_classification,eurosat,"","",pending
RN101,yfcc15m,zeroshot_classification,fer2013,"","",pending
RN101,yfcc15m,zeroshot_classification,fgvc_aircraft,"","",pending
RN101,yfcc15m,zeroshot_classification,flowers,"","",pending
RN101,yfcc15m,zeroshot_classification,food101,"","",pending
RN101,yfcc15m,zeroshot_classification,gtsrb,"","",pending
RN101,yfcc15m,zeroshot_classification,imagenet-a,"","",pending
RN101,yfcc15m,zeroshot_classification,imagenet-r,"","",pending
RN101,yfcc15m,zeroshot_classification,imagenet1k,"","",pending
RN101,yfcc15m,zeroshot_classification,imagenet_sketch,"","",pending
RN101,yfcc15m,zeroshot_classification,imagenetv2,"","",pending
RN101,yfcc15m,zeroshot_classification,mnist,"","",pending
RN101,yfcc15m,zeroshot_classification,objectnet,"","",pending
RN101,yfcc15m,zeroshot_classification,pcam,"","",pending
RN101,yfcc15m,zeroshot_classification,pets,"","",pending
RN101,yfcc15m,zeroshot_classification,renderedsst2,"","",pending
RN101,yfcc15m,zeroshot_classification,resisc45,"","",pending
RN101,yfcc15m,zeroshot_classification,stl10,"","",pending
RN101,yfcc15m,zeroshot_classification,sun397,"","",pending
RN101,yfcc15m,zeroshot_classification,voc2007,"","",pending
RN101,yfcc15m,zeroshot_classification,voc2007_multilabel,"","",pending
RN101,yfcc15m,zeroshot_classification,vtab/caltech101,"","",pending
RN101,yfcc15m,zeroshot_classification,vtab/cifar10,"","",pending
RN101,yfcc15m,zeroshot_classification,vtab/cifar100,"","",pending
RN101,yfcc15m,zeroshot_classification,vtab/clevr_closest_object_distance,"","",pending
RN101,yfcc15m,zeroshot_classification,vtab/clevr_count_all,"","",pending
RN101,yfcc15m,zeroshot_classification,vtab/diabetic_retinopathy,"","",pending
RN101,yfcc15m,zeroshot_classification,vtab/dmlab,"","",pending
RN101,yfcc15m,zeroshot_classification,vtab/dsprites_label_orientation,"","",pending
RN101,yfcc15m,zeroshot_classification,vtab/dsprites_label_x_position,"","",pending
RN101,yfcc15m,zeroshot_classification,vtab/dtd,"","",pending
RN101,yfcc15m,zeroshot_classification,vtab/eurosat,"","",pending
RN101,yfcc15m,zeroshot_classification,vtab/flowers,"","",pending
RN101,yfcc15m,zeroshot_classification,vtab/kitti_closest_vehicle_distance,"","",pending
RN101,yfcc15m,zeroshot_classification,vtab/pcam,"","",pending
RN101,yfcc15m,zeroshot_classification,vtab/pets,"","",pending
RN101,yfcc15m,zeroshot_classification,vtab/resisc45,"","",pending
RN101,yfcc15m,zeroshot_classification,vtab/smallnorb_label_azimuth,"","",pending
RN101,yfcc15m,zeroshot_classification,vtab/smallnorb_label_elevation,"","",pending
RN101,yfcc15m,zeroshot_classification,vtab/svhn,"","",pending
RN101,yfcc15m,zeroshot_retrieval,mscoco_captions,"","",pending
RN101,yfcc15m,zeroshot_retrieval,mscoco_captions2017,"","",pending
RN101,yfcc15m,zeroshot_retrieval,flickr30k,"","",pending
RN101,yfcc15m,zeroshot_retrieval,flickr8k,"","",pending
RN50x4,openai,zeroshot_classification,caltech101,"","",pending
RN50x4,openai,zeroshot_classification,cars,"","",pending
RN50x4,openai,zeroshot_classification,cifar10,"","",pending
RN50x4,openai,zeroshot_classification,cifar100,"","",pending
RN50x4,openai,zeroshot_classification,country211,"","",pending
RN50x4,openai,zeroshot_classification,dtd,"","",pending
RN50x4,openai,zeroshot_classification,eurosat,"","",pending
RN50x4,openai,zeroshot_classification,fer2013,"","",pending
RN50x4,openai,zeroshot_classification,fgvc_aircraft,"","",pending
RN50x4,openai,zeroshot_classification,flowers,"","",pending
RN50x4,openai,zeroshot_classification,food101,"","",pending
RN50x4,openai,zeroshot_classification,gtsrb,"","",pending
RN50x4,openai,zeroshot_classification,imagenet-a,"","",pending
RN50x4,openai,zeroshot_classification,imagenet-r,"","",pending
RN50x4,openai,zeroshot_classification,imagenet1k,"","",pending
RN50x4,openai,zeroshot_classification,imagenet_sketch,"","",pending
RN50x4,openai,zeroshot_classification,imagenetv2,"","",pending
RN50x4,openai,zeroshot_classification,mnist,"","",pending
RN50x4,openai,zeroshot_classification,objectnet,"","",pending
RN50x4,openai,zeroshot_classification,pcam,"","",pending
RN50x4,openai,zeroshot_classification,pets,"","",pending
RN50x4,openai,zeroshot_classification,renderedsst2,"","",pending
RN50x4,openai,zeroshot_classification,resisc45,"","",pending
RN50x4,openai,zeroshot_classification,stl10,"","",pending
RN50x4,openai,zeroshot_classification,sun397,"","",pending
RN50x4,openai,zeroshot_classification,voc2007,"","",pending
RN50x4,openai,zeroshot_classification,voc2007_multilabel,"","",pending
RN50x4,openai,zeroshot_classification,vtab/caltech101,"","",pending
RN50x4,openai,zeroshot_classification,vtab/cifar10,"","",pending
RN50x4,openai,zeroshot_classification,vtab/cifar100,"","",pending
RN50x4,openai,zeroshot_classification,vtab/clevr_closest_object_distance,"","",pending
RN50x4,openai,zeroshot_classification,vtab/clevr_count_all,"","",pending
RN50x4,openai,zeroshot_classification,vtab/diabetic_retinopathy,"","",pending
RN50x4,openai,zeroshot_classification,vtab/dmlab,"","",pending
RN50x4,openai,zeroshot_classification,vtab/dsprites_label_orientation,"","",pending
RN50x4,openai,zeroshot_classification,vtab/dsprites_label_x_position,"","",pending
RN50x4,openai,zeroshot_classification,vtab/dtd,"","",pending
RN50x4,openai,zeroshot_classification,vtab/eurosat,"","",pending
RN50x4,openai,zeroshot_classification,vtab/flowers,"","",pending
RN50x4,openai,zeroshot_classification,vtab/kitti_closest_vehicle_distance,"","",pending
RN50x4,openai,zeroshot_classification,vtab/pcam,"","",pending
RN50x4,openai,zeroshot_classification,vtab/pets,"","",pending
RN50x4,openai,zeroshot_classification,vtab/resisc45,"","",pending
RN50x4,openai,zeroshot_classification,vtab/smallnorb_label_azimuth,"","",pending
RN50x4,openai,zeroshot_classification,vtab/smallnorb_label_elevation,"","",pending
RN50x4,openai,zeroshot_classification,vtab/svhn,"","",pending
RN50x4,openai,zeroshot_retrieval,mscoco_captions,"","",pending
RN50x4,openai,zeroshot_retrieval,mscoco_captions2017,"","",pending
RN50x4,openai,zeroshot_retrieval,flickr30k,"","",pending
RN50x4,openai,zeroshot_retrieval,flickr8k,"","",pending
RN50x16,openai,zeroshot_classification,caltech101,"","",pending
RN50x16,openai,zeroshot_classification,cars,"","",pending
RN50x16,openai,zeroshot_classification,cifar10,"","",pending
RN50x16,openai,zeroshot_classification,cifar100,"","",pending
RN50x16,openai,zeroshot_classification,country211,"","",pending
RN50x16,openai,zeroshot_classification,dtd,"","",pending
RN50x16,openai,zeroshot_classification,eurosat,"","",pending
RN50x16,openai,zeroshot_classification,fer2013,"","",pending
RN50x16,openai,zeroshot_classification,fgvc_aircraft,"","",pending
RN50x16,openai,zeroshot_classification,flowers,"","",pending
RN50x16,openai,zeroshot_classification,food101,"","",pending
RN50x16,openai,zeroshot_classification,gtsrb,"","",pending
RN50x16,openai,zeroshot_classification,imagenet-a,"","",pending
RN50x16,openai,zeroshot_classification,imagenet-r,"","",pending
RN50x16,openai,zeroshot_classification,imagenet1k,"","",pending
RN50x16,openai,zeroshot_classification,imagenet_sketch,"","",pending
RN50x16,openai,zeroshot_classification,imagenetv2,"","",pending
RN50x16,openai,zeroshot_classification,mnist,"","",pending
RN50x16,openai,zeroshot_classification,objectnet,"","",pending
RN50x16,openai,zeroshot_classification,pcam,"","",pending
RN50x16,openai,zeroshot_classification,pets,"","",pending
RN50x16,openai,zeroshot_classification,renderedsst2,"","",pending
RN50x16,openai,zeroshot_classification,resisc45,"","",pending
RN50x16,openai,zeroshot_classification,stl10,"","",pending
RN50x16,openai,zeroshot_classification,sun397,"","",pending
RN50x16,openai,zeroshot_classification,voc2007,"","",pending
RN50x16,openai,zeroshot_classification,voc2007_multilabel,"","",pending
RN50x16,openai,zeroshot_classification,vtab/caltech101,"","",pending
RN50x16,openai,zeroshot_classification,vtab/cifar10,"","",pending
RN50x16,openai,zeroshot_classification,vtab/cifar100,"","",pending
RN50x16,openai,zeroshot_classification,vtab/clevr_closest_object_distance,"","",pending
RN50x16,openai,zeroshot_classification,vtab/clevr_count_all,"","",pending
RN50x16,openai,zeroshot_classification,vtab/diabetic_retinopathy,"","",pending
RN50x16,openai,zeroshot_classification,vtab/dmlab,"","",pending
RN50x16,openai,zeroshot_classification,vtab/dsprites_label_orientation,"","",pending
RN50x16,openai,zeroshot_classification,vtab/dsprites_label_x_position,"","",pending
RN50x16,openai,zeroshot_classification,vtab/dtd,"","",pending
RN50x16,openai,zeroshot_classification,vtab/eurosat,"","",pending
RN50x16,openai,zeroshot_classification,vtab/flowers,"","",pending
RN50x16,openai,zeroshot_classification,vtab/kitti_closest_vehicle_distance,"","",pending
RN50x16,openai,zeroshot_classification,vtab/pcam,"","",pending
RN50x16,openai,zeroshot_classification,vtab/pets,"","",pending
RN50x16,openai,zeroshot_classification,vtab/resisc45,"","",pending
RN50x16,openai,zeroshot_classification,vtab/smallnorb_label_azimuth,"","",pending
RN50x16,openai,zeroshot_classification,vtab/smallnorb_label_elevation,"","",pending
RN50x16,openai,zeroshot_classification,vtab/svhn,"","",pending
RN50x16,openai,zeroshot_retrieval,mscoco_captions,"","",pending
RN50x16,openai,zeroshot_retrieval,mscoco_captions2017,"","",pending
RN50x16,openai,zeroshot_retrieval,flickr30k,"","",pending
RN50x16,openai,zeroshot_retrieval,flickr8k,"","",pending
RN50x64,openai,zeroshot_classification,caltech101,"","",pending
RN50x64,openai,zeroshot_classification,cars,"","",pending
RN50x64,openai,zeroshot_classification,cifar10,"","",pending
RN50x64,openai,zeroshot_classification,cifar100,"","",pending
RN50x64,openai,zeroshot_classification,country211,"","",pending
RN50x64,openai,zeroshot_classification,dtd,"","",pending
RN50x64,openai,zeroshot_classification,eurosat,"","",pending
RN50x64,openai,zeroshot_classification,fer2013,"","",pending
RN50x64,openai,zeroshot_classification,fgvc_aircraft,"","",pending
RN50x64,openai,zeroshot_classification,flowers,"","",pending
RN50x64,openai,zeroshot_classification,food101,"","",pending
RN50x64,openai,zeroshot_classification,gtsrb,"","",pending
RN50x64,openai,zeroshot_classification,imagenet-a,"","",pending
RN50x64,openai,zeroshot_classification,imagenet-r,"","",pending
RN50x64,openai,zeroshot_classification,imagenet1k,"","",pending
RN50x64,openai,zeroshot_classification,imagenet_sketch,"","",pending
RN50x64,openai,zeroshot_classification,imagenetv2,"","",pending
RN50x64,openai,zeroshot_classification,mnist,"","",pending
RN50x64,openai,zeroshot_classification,objectnet,"","",pending
RN50x64,openai,zeroshot_classification,pcam,"","",pending
RN50x64,openai,zeroshot_classification,pets,"","",pending
RN50x64,openai,zeroshot_classification,renderedsst2,"","",pending
RN50x64,openai,zeroshot_classification,resisc45,"","",pending
RN50x64,openai,zeroshot_classification,stl10,"","",pending
RN50x64,openai,zeroshot_classification,sun397,"","",pending
RN50x64,openai,zeroshot_classification,voc2007,"","",pending
RN50x64,openai,zeroshot_classification,voc2007_multilabel,"","",pending
RN50x64,openai,zeroshot_classification,vtab/caltech101,"","",pending
RN50x64,openai,zeroshot_classification,vtab/cifar10,"","",pending
RN50x64,openai,zeroshot_classification,vtab/cifar100,"","",pending
RN50x64,openai,zeroshot_classification,vtab/clevr_closest_object_distance,"","",pending
RN50x64,openai,zeroshot_classification,vtab/clevr_count_all,"","",pending
RN50x64,openai,zeroshot_classification,vtab/diabetic_retinopathy,"","",pending
RN50x64,openai,zeroshot_classification,vtab/dmlab,"","",pending
RN50x64,openai,zeroshot_classification,vtab/dsprites_label_orientation,"","",pending
RN50x64,openai,zeroshot_classification,vtab/dsprites_label_x_position,"","",pending
RN50x64,openai,zeroshot_classification,vtab/dtd,"","",pending
RN50x64,openai,zeroshot_classification,vtab/eurosat,"","",pending
RN50x64,openai,zeroshot_classification,vtab/flowers,"","",pending
RN50x64,openai,zeroshot_classification,vtab/kitti_closest_vehicle_distance,"","",pending
RN50x64,openai,zeroshot_classification,vtab/pcam,"","",pending
RN50x64,openai,zeroshot_classification,vtab/pets,"","",pending
RN50x64,openai,zeroshot_classification,vtab/resisc45,"","",pending
RN50x64,openai,zeroshot_classification,vtab/smallnorb_label_azimuth,"","",pending
RN50x64,openai,zeroshot_classification,vtab/smallnorb_label_elevation,"","",pending
RN50x64,openai,zeroshot_classification,vtab/svhn,"","",pending
RN50x64,openai,zeroshot_retrieval,mscoco_captions,"","",pending
RN50x64,openai,zeroshot_retrieval,mscoco_captions2017,"","",pending
RN50x64,openai,zeroshot_retrieval,flickr30k,"","",pending
RN50x64,openai,zeroshot_retrieval,flickr8k,"","",pending
ViT-B-32,openai,zeroshot_classification,caltech101,"","",pending
ViT-B-32,openai,zeroshot_classification,cars,"","",pending
ViT-B-32,openai,zeroshot_classification,cifar10,results/cifar10_openai_ViT-B-32_en_zeroshot_classification.json,2025-07-29T13:58:14,completed
ViT-B-32,openai,zeroshot_classification,cifar100,"","",pending
ViT-B-32,openai,zeroshot_classification,country211,"","",pending
ViT-B-32,openai,zeroshot_classification,dtd,"","",pending
ViT-B-32,openai,zeroshot_classification,eurosat,"","",pending
ViT-B-32,openai,zeroshot_classification,fer2013,"","",pending
ViT-B-32,openai,zeroshot_classification,fgvc_aircraft,"","",pending
ViT-B-32,openai,zeroshot_classification,flowers,"","",pending
ViT-B-32,openai,zeroshot_classification,food101,"","",pending
ViT-B-32,openai,zeroshot_classification,gtsrb,"","",pending
ViT-B-32,openai,zeroshot_classification,imagenet-a,"","",pending
ViT-B-32,openai,zeroshot_classification,imagenet-r,"","",pending
ViT-B-32,openai,zeroshot_classification,imagenet1k,"","",pending
ViT-B-32,openai,zeroshot_classification,imagenet_sketch,"","",pending
ViT-B-32,openai,zeroshot_classification,imagenetv2,"","",pending
ViT-B-32,openai,zeroshot_classification,mnist,"","",pending
ViT-B-32,openai,zeroshot_classification,objectnet,"","",pending
ViT-B-32,openai,zeroshot_classification,pcam,"","",pending
ViT-B-32,openai,zeroshot_classification,pets,"","",pending
ViT-B-32,openai,zeroshot_classification,renderedsst2,"","",pending
ViT-B-32,openai,zeroshot_classification,resisc45,"","",pending
ViT-B-32,openai,zeroshot_classification,stl10,"","",pending
ViT-B-32,openai,zeroshot_classification,sun397,"","",pending
ViT-B-32,openai,zeroshot_classification,voc2007,"","",pending
ViT-B-32,openai,zeroshot_classification,voc2007_multilabel,"","",pending
ViT-B-32,openai,zeroshot_classification,vtab/caltech101,"","",pending
ViT-B-32,openai,zeroshot_classification,vtab/cifar10,"","",pending
ViT-B-32,openai,zeroshot_classification,vtab/cifar100,"","",pending
ViT-B-32,openai,zeroshot_classification,vtab/clevr_closest_object_distance,"","",pending
ViT-B-32,openai,zeroshot_classification,vtab/clevr_count_all,"","",pending
ViT-B-32,openai,zeroshot_classification,vtab/diabetic_retinopathy,"","",pending
